Identifier 1,Corr d13C,Corr d15N
BG2023_156_COMP_mill_MID,-22.3252955,-0.4981828
BG2023_156_COMP_mill_BTM,-26.1271955,0.3319499
BG2023_5616_COMP_mill_TOP,-18.844556,-0.8685358
BG2023_5616_COMP_mill_MID,-19.5619145,-1.6372441
BG2023_5616_COMP_mill_BTM,-19.344806,-0.1215067
BG2023_143_COMP_mill_TOP,-27.424844,-0.6228382
BG2023_143_COMP_mill_MID,-27.6179405,-0.3807538
BG2023_143_COMP_mill_BTM,-27.943103,-0.1178935
BG2023_31_COMP_mill_TOP,-22.198232,-0.2949403
BG2023_31_COMP_mill_MID,-20.657462,0.2063912
BG2023_31_COMP_mill_BTM,-26.3773205,0.482801
Protein_std,-26.8235435,5.8330469
Sorghumflour_std,-13.6229465,1.7582606
Peachleaves_std,-26.0991815,1.7483243
BG2023_285_COMP_mill_TOP,-27.893078,-0.8613094
BG2023_285_COMP_mill_MID,-28.135199,-0.7763992
BG2023_285_COMP_mill_BTM,-29.071667,-0.3708175
BG2023_1842_COMP_mill_TOP,-22.4633645,-0.9697054
BG2023_1842_COMP_mill_MID,-23.3117885,-0.9977077
BG2023_1842_COMP_mill_BTM,-24.5123885,-0.1576387
BG2023_287_COMP_mill_TOP,-23.7500075,1.1891816
BG2023_287_COMP_mill_MID,-22.4453555,2.9361638
BG2023_287_COMP_mill_BTM,-26.9135885,2.1286136
BG2023_1654_COMP_mill_TOP,-17.065667,-1.2714076
BG2023_1654_COMP_mill_MID,-18.2772725,-1.0952641
BG2023_1654_COMP_mill_BTM,-17.2107395,-0.7393639
BG2023_1946_COMP_mill_TOP,-26.7254945,-0.6508405
BG2023_1946_COMP_mill_MID,-26.740502,0.0067619
BG2023_1946_COMP_mill_BTM,-27.448856,-0.4918597
BG2023_76_COMP_mill_TOP,-27.9040835,0.8305715
BG2023_76_COMP_mill_MID,-27.2877755,-0.3681076
BG2023_76_COMP_mill_BTM,-28.233248,0.8793497
Protein_std,-26.842553,5.8240139
Sorghumflour_std,-13.7870285,1.6308953
Peachleaves_std,-26.0411525,1.7844563
